,Age,Workclass,fnlwgt,Education,Education.Num,Marital.Status,Occupation,Race,Sex,Capital.Gain,Hours.per.week,Country,Salary
29859,52,Government,298035,Masters,14,Married,Prof-specialty,White,Male,0,40,US,<=50K
32226,56,Private,106723,HS-grad,9,Divorced,Adm-clerical,White,Female,0,40,US,<=50K
12271,19,Private,258470,HS-grad,9,Never-married,Handlers-cleaners,White,Male,0,40,US,<=50K
18785,30,Private,140790,HS-grad,9,Married,Sales,White,Male,0,45,US,<=50K
17897,21,Private,34310,Assoc-voc,11,Married,Craft-repair,White,Male,0,40,US,<=50K
26747,23,Private,210474,Some-college,10,Never-married,Other-service,White,Female,0,20,US,<=50K
26263,38,Private,32897,<=12th,7,Divorced,Sales,White,Female,0,40,US,<=50K
24999,25,Private,258379,Bachelors,13,Married,Prof-specialty,White,Female,0,32,US,<=50K
14879,51,Government,97005,<=12th,4,Married,Transport-moving,White,Male,0,40,US,<=50K
3116,52,Other,210736,Bachelors,13,Married,Sales,White,Male,0,60,US,<=50K
12663,48,Private,76017,HS-grad,9,Widowed,Other-service,White,Female,0,25,US,<=50K
4299,20,Other,124242,Some-college,10,Never-married,?,White,Female,0,40,US,<=50K
30599,21,Private,157893,HS-grad,9,Never-married,Transport-moving,White,Female,0,40,US,<=50K
31454,30,Private,430283,HS-grad,9,Married,Adm-clerical,White,Female,7298,40,US,>50K
12026,56,Private,195668,<=12th,6,Married,Other-service,White,Male,0,35,Non-US,>50K
19785,30,Private,158420,Bachelors,13,Never-married,Machine-op-inspct,White,Male,0,25,US,<=50K
15087,62,Private,664366,Bachelors,13,Married,Sales,White,Male,0,60,US,>50K
28606,39,Other,85566,Bachelors,13,Married,Prof-specialty,White,Male,0,40,US,<=50K
30154,35,Private,283122,Some-college,10,Married,Tech-support,White,Male,0,45,US,<=50K
18389,17,Government,244856,<=12th,7,Never-married,Prof-specialty,White,Female,0,40,US,<=50K
13301,41,Private,154076,Some-college,10,Married,Adm-clerical,White,Male,0,50,US,>50K
31347,39,Private,456922,Bachelors,13,Divorced,Tech-support,White,Male,0,40,US,<=50K
23493,19,Private,223648,HS-grad,9,Never-married,Sales,White,Male,4101,48,US,<=50K
28256,53,Other,152810,HS-grad,9,Married,Craft-repair,White,Male,5178,45,US,>50K
14722,31,Private,199883,<=12th,8,Divorced,Transport-moving,White,Male,0,40,US,<=50K
3065,72,Other,113044,HS-grad,9,Widowed,?,White,Male,0,30,US,<=50K
13619,21,Other,48121,Some-college,10,Never-married,Exec-managerial,White,Male,0,10,US,<=50K
2014,30,Private,212237,Bachelors,13,Married,Prof-specialty,White,Male,0,45,US,<=50K
14413,35,Private,238342,HS-grad,9,Married,Transport-moving,White,Male,0,40,US,<=50K
6980,29,Government,289991,Masters,14,Married,Prof-specialty,White,Male,0,50,US,<=50K
609,17,Private,169658,<=12th,6,Never-married,Other-service,White,Female,0,21,US,<=50K
15937,34,Other,287908,HS-grad,9,Never-married,Other-service,Black,Male,0,42,US,<=50K
