,Age,Workclass,fnlwgt,Education,Education.Num,Marital.Status,Occupation,Race,Sex,Capital.Gain,Hours.per.week,Country,Salary
0,40,Private,198996,HS-grad,9,Married,Sales,White,Male,0,40,US,>50K
1,18,Other,364782,<=12th,6,Divorced,?,White,Female,0,25,US,<=50K
2,17,Private,364782,HS-grad,9,Divorced,Adm-clerical,White,Female,0,40,US,<=50K
3,31,Government,364782,Bachelors,13,Divorced,Prof-specialty,Black,Female,0,40,US,<=50K
4,18,Private,364782,<=12th,3,Never-married,Machine-op-inspct,White,Female,0,25,US,<=50K
5,34,Private,198996,Bachelors,13,Divorced,Prof-specialty,White,Male,0,40,US,>50K
6,27,Government,293690,<=12th,6,Divorced,Machine-op-inspct,Black,Female,0,40,US,<=50K
7,18,Other,364782,<=12th,6,Married,Sales,White,Male,0,40,US,<=50K
8,27,Private,198996,Masters,14,Married,Exec-managerial,White,Male,0,45,US,<=50K
9,25,Private,364782,Some-college,10,Never-married,Farming-fishing,White,Female,0,40,US,<=50K
10,44,Private,364782,HS-grad,9,Never-married,Other-service,White,Female,0,30,US,<=50K
11,41,Government,198996,Masters,14,Married,Prof-specialty,White,Male,0,50,US,>50K
12,44,Private,364782,Some-college,10,Married,Machine-op-inspct,White,Male,0,40,US,<=50K
13,47,Other,364782,HS-grad,9,Never-married,?,White,Male,0,30,US,<=50K
14,26,Private,198996,Masters,14,Never-married,Prof-specialty,Asian-Pac-Islander,Female,0,50,Non-US,<=50K
15,37,Private,364782,HS-grad,9,Widowed,Adm-clerical,White,Female,0,20,US,<=50K
16,34,Private,198996,Masters,14,Married,Sales,White,Female,0,50,US,>50K
17,22,Private,364782,Assoc-voc,11,Never-married,Adm-clerical,Asian-Pac-Islander,Female,0,40,Non-US,<=50K
18,51,Other,198996,Doctorate,16,Married,Sales,White,Male,0,45,US,>50K
19,32,Private,198996,HS-grad,9,Married,Handlers-cleaners,White,Male,0,40,US,<=50K
20,28,Private,198996,Some-college,10,Married,Craft-repair,White,Male,0,40,US,<=50K
21,39,Private,364782,Some-college,10,Never-married,Adm-clerical,Black,Male,0,30,US,<=50K
22,18,Private,364782,<=12th,6,Never-married,Adm-clerical,White,Female,0,30,US,<=50K
23,22,Private,364782,Bachelors,13,Never-married,Other-service,White,Male,0,40,Non-US,<=50K
24,29,Other,364782,HS-grad,9,Widowed,Exec-managerial,Black,Female,0,20,US,<=50K
