,Age,Workclass,fnlwgt,Education,Education.Num,Marital.Status,Occupation,Race,Sex,Capital.Gain,Hours.per.week,Country,Salary
0,37,Government,364782,Assoc-voc,11,Married,Farming-fishing,White,Male,0,40,US,>50K
1,37,Private,364782,Assoc-acdm,12,Divorced,Adm-clerical,White,Male,0,40,US,<=50K
2,17,Other,198996,HS-grad,9,Married,?,White,Female,0,40,US,<=50K
3,55,Government,364782,Bachelors,13,Never-married,Adm-clerical,Black,Male,0,40,US,<=50K
4,43,Private,364782,Masters,14,Never-married,Adm-clerical,Black,Female,0,40,US,<=50K
5,50,Private,364782,<=12th,8,Never-married,Craft-repair,White,Male,0,40,US,<=50K
6,21,Private,198996,Some-college,10,Married,Sales,White,Male,0,45,US,>50K
7,27,Private,364782,<=12th,6,Never-married,Craft-repair,White,Male,0,40,US,<=50K
8,29,Private,364782,Some-college,10,Married,Transport-moving,White,Male,0,40,US,<=50K
9,22,Private,198996,HS-grad,9,Married,Handlers-cleaners,White,Male,0,40,US,<=50K
10,47,Other,364782,Bachelors,13,Divorced,Exec-managerial,White,Male,0,45,US,<=50K
11,49,Private,198996,Some-college,10,Married,Sales,White,Male,0,40,US,<=50K
12,44,Other,364782,Bachelors,13,Never-married,Farming-fishing,White,Male,0,45,US,<=50K
13,52,Private,364782,Bachelors,13,Married,Exec-managerial,White,Male,0,40,US,>50K
14,21,Other,364782,Some-college,10,Never-married,?,White,Male,0,25,US,<=50K
15,26,Private,364782,Some-college,10,Never-married,Craft-repair,White,Male,0,40,US,<=50K
16,35,Other,198996,Some-college,10,Married,Exec-managerial,White,Male,0,50,US,>50K
17,18,Private,364782,Some-college,10,Never-married,Sales,White,Female,0,20,US,<=50K
18,31,Private,198996,HS-grad,9,Divorced,Sales,White,Female,0,20,US,<=50K
19,24,Private,198996,HS-grad,9,Married,Craft-repair,White,Male,0,40,US,<=50K
20,35,Private,364782,Some-college,10,Married,Adm-clerical,White,Female,0,40,US,>50K
21,51,Private,364782,HS-grad,9,Widowed,Adm-clerical,White,Female,0,40,US,<=50K
22,28,Private,198996,Bachelors,13,Married,Farming-fishing,Asian-Pac-Islander,Male,0,40,Non-US,<=50K
23,35,Private,364782,Masters,14,Divorced,Prof-specialty,White,Female,0,50,US,<=50K
24,20,Government,198996,Masters,14,Never-married,Prof-specialty,White,Male,0,40,US,<=50K
25,24,Private,198996,HS-grad,9,Never-married,Handlers-cleaners,White,Male,0,40,US,<=50K
26,27,Private,364782,Some-college,10,Divorced,Adm-clerical,White,Female,0,40,US,<=50K
27,34,Private,198996,HS-grad,9,Married,Craft-repair,White,Male,0,40,US,<=50K
28,22,Private,198996,HS-grad,9,Separated,Sales,White,Female,0,20,US,<=50K
29,28,Private,364782,<=12th,7,Never-married,Craft-repair,White,Male,0,40,US,<=50K
30,35,Private,364782,Bachelors,13,Never-married,Tech-support,White,Male,0,40,US,<=50K
31,21,Private,364782,Assoc-acdm,12,Married,Craft-repair,White,Male,0,40,US,<=50K
32,29,Other,364782,Masters,14,Divorced,Exec-managerial,White,Female,0,45,US,>50K
33,37,Private,198996,HS-grad,9,Divorced,Transport-moving,Black,Male,0,40,US,<=50K
34,41,Private,198996,HS-grad,9,Divorced,Sales,White,Female,0,40,US,<=50K
35,35,Private,364782,HS-grad,9,Married,Adm-clerical,White,Female,0,40,US,<=50K
36,42,Private,364782,Some-college,10,Married,Transport-moving,White,Male,0,40,US,>50K
37,26,Private,364782,Bachelors,13,Married,Craft-repair,White,Male,0,50,US,<=50K
38,18,Other,364782,<=12th,7,Never-married,Farming-fishing,White,Male,0,15,US,<=50K
39,23,Private,198996,Bachelors,13,Never-married,Handlers-cleaners,Asian-Pac-Islander,Male,0,40,Non-US,<=50K
40,33,Private,198996,Bachelors,13,Never-married,Prof-specialty,White,Male,0,40,Non-US,<=50K
41,35,Private,198996,Masters,14,Married,Prof-specialty,White,Male,0,40,US,>50K
42,44,Private,364782,Bachelors,13,Never-married,Sales,White,Male,0,45,US,>50K
43,27,Other,364782,Bachelors,13,Never-married,?,White,Male,0,30,US,<=50K
44,48,Private,198996,Masters,14,Married,Sales,White,Male,0,40,US,<=50K
45,40,Private,198996,Some-college,10,Married,Adm-clerical,Black,Female,0,50,US,>50K
46,25,Other,198996,HS-grad,9,Never-married,?,White,Male,0,30,US,<=50K
47,28,Private,198996,<=12th,6,Married,Other-service,White,Male,0,40,US,<=50K
