,Age,Workclass,fnlwgt,Education,Education.Num,Marital.Status,Occupation,Race,Sex,Capital.Gain,Hours.per.week,Country,Salary
0,32,Government,213408,Some-college,10,Married,Craft-repair,White,Male,0,50,US,>50K
1,20,Private,191497,Some-college,10,Never-married,Other-service,Black,Female,0,40,US,<=50K
2,21,Private,213408,<=12th,5,Never-married,Craft-repair,White,Male,0,40,Non-US,<=50K
3,51,Other,213408,<=12th,6,Married,?,White,Male,0,35,US,<=50K
4,34,Private,213408,Bachelors,13,Married,Exec-managerial,White,Male,0,40,US,>50K
5,22,Private,191497,Some-college,10,Never-married,Exec-managerial,White,Female,0,40,US,<=50K
6,22,Private,191497,Some-college,10,Never-married,Protective-serv,White,Male,0,40,US,<=50K
7,44,Private,213408,HS-grad,9,Married,Exec-managerial,White,Male,0,40,US,<=50K
8,20,Private,191497,Assoc-voc,11,Never-married,Adm-clerical,Black,Male,0,40,US,<=50K
9,41,Private,213408,HS-grad,9,Married,Farming-fishing,White,Male,0,40,US,>50K
10,36,Other,191497,Masters,14,Married,Prof-specialty,White,Female,0,35,US,>50K
11,26,Private,213408,HS-grad,9,Never-married,Machine-op-inspct,White,Female,0,40,US,<=50K
12,27,Other,213408,HS-grad,9,Married,Farming-fishing,White,Male,0,60,US,>50K
13,23,Private,213408,Bachelors,13,Married,Prof-specialty,White,Male,0,40,US,<=50K
14,41,Private,213408,Some-college,10,Married,Craft-repair,White,Male,0,50,US,>50K
15,25,Private,213408,HS-grad,9,Married,Sales,White,Male,0,60,US,<=50K
16,39,Private,213408,Bachelors,13,Married,Exec-managerial,Asian-Pac-Islander,Male,2228,82,Non-US,<=50K
17,17,Private,213408,HS-grad,9,Never-married,Protective-serv,White,Male,0,40,US,<=50K
18,61,Government,213408,Some-college,10,Married,Craft-repair,White,Male,0,40,US,<=50K
19,32,Private,191497,Some-college,10,Never-married,Exec-managerial,White,Female,0,40,US,<=50K
20,43,Other,213408,<=12th,6,Married,Craft-repair,White,Male,0,40,US,<=50K
21,17,Private,191497,HS-grad,9,Never-married,Prof-specialty,White,Male,0,40,US,<=50K
22,27,Private,213408,Some-college,10,Married,Transport-moving,White,Male,0,60,US,>50K
23,20,Private,191497,HS-grad,9,Divorced,Exec-managerial,White,Female,0,45,US,<=50K
24,37,Private,213408,HS-grad,9,Married,Craft-repair,White,Male,0,40,US,<=50K
25,33,Private,213408,HS-grad,9,Married,Tech-support,White,Male,0,40,US,<=50K
26,32,Private,191497,Some-college,10,Divorced,Adm-clerical,White,Male,0,40,US,<=50K
27,37,Private,213408,Some-college,10,Married,Craft-repair,White,Male,0,50,US,<=50K
28,38,Private,213408,Bachelors,13,Never-married,Other-service,White,Male,0,30,US,<=50K
29,36,Private,191497,Bachelors,13,Never-married,Other-service,Asian-Pac-Islander,Female,0,40,US,<=50K
30,26,Government,191497,<=12th,8,Never-married,Adm-clerical,Black,Female,0,40,US,<=50K
31,22,Government,191497,Some-college,10,Never-married,Adm-clerical,White,Female,0,40,US,<=50K
32,28,Other,191497,Bachelors,13,Never-married,Prof-specialty,Black,Female,0,40,US,<=50K
33,21,Other,191497,Assoc-acdm,12,Never-married,?,White,Female,0,40,US,<=50K
34,53,Other,213408,Bachelors,13,Married,Craft-repair,White,Male,0,40,US,>50K
35,41,Private,213408,Some-college,10,Never-married,Exec-managerial,White,Female,0,40,US,<=50K
36,42,Other,191497,Masters,14,Married,Prof-specialty,White,Male,0,40,US,>50K
37,32,Private,213408,HS-grad,9,Married,Craft-repair,White,Male,0,40,Non-US,<=50K
38,46,Private,213408,Masters,14,Widowed,Other-service,White,Male,0,40,US,<=50K
39,24,Private,191497,Bachelors,13,Never-married,Prof-specialty,Amer-Indian-Eskimo,Female,0,40,US,<=50K
40,27,Other,213408,<=12th,6,Married,Farming-fishing,White,Male,0,40,US,<=50K
41,35,Other,213408,<=12th,4,Married,Transport-moving,White,Male,0,50,US,<=50K
42,47,Private,213408,HS-grad,9,Married,Tech-support,White,Male,0,40,US,<=50K
43,40,Private,191497,Some-college,10,Divorced,?,White,Female,0,45,US,<=50K
44,39,Private,213408,Masters,14,Married,Prof-specialty,White,Male,0,50,US,>50K
45,84,Other,274363,HS-grad,9,Never-married,Farming-fishing,Black,Male,0,40,US,<=50K
46,51,Private,213408,Bachelors,13,Married,Sales,White,Male,0,40,US,>50K
47,27,Other,213408,HS-grad,9,Married,Farming-fishing,White,Male,0,60,US,<=50K
48,48,Government,213408,Bachelors,13,Divorced,Other-service,White,Female,0,40,US,<=50K
49,20,Private,213408,<=12th,8,Never-married,Handlers-cleaners,White,Male,0,40,US,<=50K
50,33,Private,213408,HS-grad,9,Married,Exec-managerial,White,Male,0,40,US,<=50K
51,37,Other,191497,HS-grad,9,Never-married,?,White,Male,0,40,US,<=50K
52,33,Other,213408,Bachelors,13,Married,Sales,White,Male,0,40,US,<=50K
53,20,Private,191497,HS-grad,9,Never-married,Exec-managerial,White,Male,0,40,Non-US,<=50K
54,58,Private,213408,HS-grad,9,Married,Craft-repair,White,Male,0,60,US,>50K
55,18,Private,191497,Some-college,10,Separated,Adm-clerical,White,Male,0,40,US,<=50K
56,26,Private,213408,HS-grad,9,Divorced,Adm-clerical,White,Female,0,45,US,<=50K
57,41,Government,213408,Bachelors,13,Divorced,Exec-managerial,White,Male,0,40,US,<=50K
58,23,Other,213408,<=12th,6,Never-married,Adm-clerical,White,Male,0,50,US,<=50K
59,17,Private,213408,HS-grad,9,Married,Sales,White,Male,0,40,US,<=50K
60,46,Private,213408,Assoc-voc,11,Married,Exec-managerial,White,Male,0,40,US,>50K
61,48,Government,191497,Bachelors,6,Never-married,Adm-clerical,Black,Female,0,40,US,<=50K
62,51,Government,213408,HS-grad,9,Married,Farming-fishing,White,Male,0,40,US,>50K
63,33,Private,274363,HS-grad,9,Married,Machine-op-inspct,White,Female,0,40,Non-US,<=50K
64,48,Government,213408,<=12th,6,Married,?,White,Male,0,30,US,<=50K
65,51,Government,191497,Bachelors,13,Married,Adm-clerical,Black,Female,0,40,US,>50K
66,25,Private,213408,Assoc-voc,11,Married,Sales,White,Male,0,50,US,<=50K
67,23,Private,191497,HS-grad,9,Never-married,Other-service,Black,Female,0,40,US,<=50K
68,51,Government,213408,Some-college,10,Married,Exec-managerial,White,Male,0,40,US,<=50K
69,22,Private,213408,<=12th,5,Never-married,Other-service,Amer-Indian-Eskimo,Female,0,40,US,<=50K
70,37,Private,213408,HS-grad,9,Never-married,Handlers-cleaners,White,Male,0,40,US,<=50K
