age,workclass,fnlwgt,education,educational.num,marital.status,occupation,race,gender,capital.gain,capital.loss,hours.per.week,native.country,income
41,Self-emp-inc,253814,Bachelors,13,Married,Exec-managerial,White,Male,0,0,50,US,>50K
26,Private,253814,HS-grad,9,Married,Sales,White,Male,0,0,40,US,<=50K
22,Private,253814,HS-grad,9,Never-married,Other-service,White,Female,0,0,40,US,<=50K
37,Private,253814,Some-college,10,Never-married,Machine-op-inspct,White,Male,0,0,40,US,<=50K
37,Private,253814,Prof-school,15,Never-married,Prof-specialty,White,Male,0,0,40,US,>50K
18,Government,253814,Bachelors,13,Married,Adm-clerical,White,Male,0,0,40,US,<=50K
46,Private,253814,Masters,14,Never-married,Adm-clerical,Black,Female,0,0,40,US,<=50K
31,Private,253814,Assoc-voc,11,Married,Prof-specialty,White,Male,0,0,50,US,<=50K
36,Private,253814,Masters,14,Never-married,Exec-managerial,White,Male,0,0,60,US,<=50K
43,Government,253814,HS-grad,9,Married,Transport-moving,White,Male,0,0,45,US,>50K
40,Private,253814,Bachelors,13,Married,Sales,White,Male,0,0,50,US,>50K
41,Private,253814,Masters,14,Never-married,Adm-clerical,White,Female,0,0,40,Non-US,<=50K
34,Self-emp-not-inc,253814,HS-grad,9,Married,Craft-repair,White,Male,0,0,50,US,>50K
33,Private,253814,HS-grad,9,Widowed,Adm-clerical,White,Female,0,0,40,US,<=50K
29,Private,253814,Some-college,10,Never-married,Exec-managerial,White,Male,0,0,45,US,<=50K
26,Self-emp-not-inc,253814,HS-grad,9,Married,Craft-repair,White,Male,0,0,50,US,<=50K
36,Private,253814,HS-grad,9,Never-married,Adm-clerical,White,Female,0,0,40,US,<=50K
25,Private,253814,HS-grad,9,Married,Handlers-cleaners,White,Male,0,0,60,US,<=50K
47,Private,253814,HS-grad,9,Married,Machine-op-inspct,White,Male,0,0,40,US,<=50K
41,Private,253814,HS-grad,9,Married,Sales,White,Male,0,0,40,US,<=50K
44,Self-emp-not-inc,253814,Assoc-acdm,12,Divorced,Exec-managerial,White,Female,0,0,55,US,<=50K
33,Private,253814,Assoc-acdm,12,Never-married,Craft-repair,White,Male,0,0,50,US,<=50K
30,Private,253814,Doctorate,16,Never-married,Prof-specialty,Asian-Pac-Islander,Female,0,0,52,US,>50K
24,Private,253814,HS-grad,9,Never-married,Craft-repair,White,Female,0,0,45,US,<=50K
24,Private,253814,<=12th,6,Married,Handlers-cleaners,White,Male,0,0,40,US,<=50K
20,Private,253814,Bachelors,13,Never-married,Prof-specialty,White,Male,0,0,45,US,<=50K
23,Government,253814,HS-grad,9,Never-married,Craft-repair,Black,Male,0,0,50,US,<=50K
25,Self-emp-inc,253814,HS-grad,9,Married,Exec-managerial,White,Male,0,0,60,US,<=50K
37,Private,253814,Some-college,10,Never-married,Exec-managerial,White,Female,0,0,40,US,<=50K
27,Private,253814,Some-college,10,Married,Exec-managerial,White,Male,0,0,30,Non-US,<=50K
44,Private,253814,<=12th,13,Never-married,Machine-op-inspct,Asian-Pac-Islander,Male,0,0,40,Non-US,<=50K
29,Private,253814,Some-college,10,Married,Exec-managerial,White,Male,0,0,20,US,>50K
37,Private,253814,Bachelors,13,Never-married,Sales,White,Male,0,0,20,US,<=50K
38,Private,253814,<=12th,7,Never-married,Other-service,White,Female,0,0,30,US,<=50K
47,Private,253814,HS-grad,9,Never-married,Craft-repair,Black,Male,0,0,40,US,<=50K
29,Private,253814,Some-college,10,Never-married,Sales,White,Male,0,0,40,US,<=50K
20,Private,253814,Some-college,10,Never-married,Prof-specialty,White,Female,0,0,40,US,<=50K
23,Private,253814,Bachelors,13,Never-married,Exec-managerial,White,Male,0,0,45,US,>50K
36,Private,253814,HS-grad,9,Divorced,Adm-clerical,Black,Female,0,0,40,US,<=50K
35,Private,253814,HS-grad,9,Married,Handlers-cleaners,White,Male,0,0,40,US,>50K
28,Private,253814,Some-college,10,Married,Transport-moving,White,Male,0,0,40,US,<=50K
35,Government,253814,Masters,14,Married,Prof-specialty,White,Male,0,0,50,US,>50K
40,Government,253814,HS-grad,9,Married,Craft-repair,White,Male,0,0,50,US,>50K
36,Private,253814,HS-grad,9,Married,Transport-moving,White,Male,0,0,40,US,<=50K
23,Self-emp-not-inc,253814,Some-college,10,Never-married,Other-service,White,Male,0,0,60,US,<=50K
29,Private,253814,Some-college,10,Married,Adm-clerical,White,Male,0,0,40,US,<=50K
22,Government,253814,HS-grad,9,Married,Protective-serv,White,Male,0,0,60,US,<=50K
41,Government,253814,HS-grad,9,Married,Machine-op-inspct,Black,Male,0,0,60,US,>50K
31,Government,253814,Assoc-acdm,3,Never-married,Prof-specialty,White,Female,0,0,60,Non-US,<=50K
27,Private,253814,HS-grad,9,Never-married,Adm-clerical,White,Male,0,0,40,US,<=50K
23,Private,253814,HS-grad,9,Married,Sales,White,Male,0,0,60,US,<=50K
35,Private,253814,HS-grad,9,Never-married,Machine-op-inspct,White,Male,0,0,40,US,<=50K
36,Private,253814,Bachelors,13,Married,Prof-specialty,White,Male,0,0,50,US,>50K
21,Private,253814,Some-college,10,Separated,Other-service,White,Female,0,0,30,US,<=50K
22,Private,253814,HS-grad,9,Never-married,Machine-op-inspct,Black,Female,0,0,25,US,<=50K
25,Private,253814,<=12th,14,Never-married,Adm-clerical,White,Male,0,0,40,US,<=50K
32,Private,253814,HS-grad,9,Married,Transport-moving,White,Male,0,0,40,US,<=50K
31,Self-emp-not-inc,253814,<=12th,7,Married,Farming-fishing,White,Male,0,0,60,US,<=50K
44,Private,253814,Some-college,10,Divorced,Adm-clerical,White,Female,0,0,40,US,<=50K
47,Private,253814,HS-grad,9,Married,Other-service,White,Female,0,0,40,US,<=50K
43,Private,253814,Masters,14,Married,Sales,White,Male,0,0,48,US,>50K
41,Private,253814,Bachelors,13,Married,Prof-specialty,White,Male,0,0,40,US,<=50K
43,Private,253814,Some-college,10,Never-married,Transport-moving,White,Female,0,0,40,US,<=50K
25,Private,253814,HS-grad,9,Never-married,Handlers-cleaners,Black,Male,0,0,40,US,<=50K
46,Private,253814,<=12th,4,Married,Other-service,White,Male,0,0,40,Non-US,<=50K
43,Government,253814,Bachelors,13,Separated,Transport-moving,White,Female,0,0,45,US,<=50K
49,Self-emp-not-inc,253814,Bachelors,13,Married,Prof-specialty,White,Male,0,0,50,US,>50K
32,Private,253814,Assoc-voc,11,Married,Prof-specialty,White,Male,0,0,35,Non-US,>50K
21,Private,253814,<=12th,7,Never-married,Other-service,White,Female,0,0,40,US,<=50K
24,Private,253814,Some-college,10,Never-married,Adm-clerical,White,Female,0,0,45,US,<=50K
44,Private,253814,HS-grad,9,Married,Craft-repair,White,Male,0,0,50,US,>50K
25,Private,253814,HS-grad,9,Never-married,Other-service,White,Male,0,0,40,US,<=50K
58,Private,253814,Assoc-voc,11,Never-married,Prof-specialty,White,Female,0,0,60,US,<=50K
