age,workclass,fnlwgt,education,educational.num,marital.status,occupation,race,gender,capital.gain,capital.loss,hours.per.week,native.country,income
47,Government,182799,Some-college,10,Never-married,Sales,White,Female,0,1,40,US,<=50K
49,Private,246462,Some-college,10,Married,Craft-repair,White,Male,0,1,75,US,>50K
17,Private,447185,<=12th,3,Never-married,Prof-specialty,White,Female,20,2,16,US,<=50K
59,Government,203097,Bachelors,13,Married,Prof-specialty,White,Female,16,0,49,US,<=50K
20,Private,290734,<=12th,5,Never-married,Craft-repair,White,Female,48,0,24,US,<=50K
56,Private,117561,<=12th,4,Married,Machine-op-inspct,White,Male,5,0,39,US,<=50K
57,Private,36366,<=12th,3,Never-married,Transport-moving,Amer-Indian-Eskimo,Male,0,0,40,US,<=50K
43,Private,62214,<=12th,6,Married,Handlers-cleaners,White,Male,0,0,40,US,<=50K
32,Private,223663,HS-grad,9,Separated,Priv-house-serv,White,Female,18,0,40,US,<=50K
42,Private,175584,HS-grad,9,Married,Sales,White,Male,14798,1,51,US,>50K
56,Private,215808,Some-college,10,Separated,Craft-repair,White,Female,20,0,40,US,<=50K
87,Private,300127,<=12th,5,Married,Craft-repair,White,Male,42,0,40,Non-US,<=50K
57,Private,231883,<=12th,7,Never-married,Priv-house-serv,White,Female,37,0,21,US,<=50K
49,Private,201873,<=12th,7,Married,Handlers-cleaners,White,Male,22,1,40,Non-US,<=50K
33,Private,202989,Bachelors,13,Never-married,Prof-specialty,Asian-Pac-Islander,Female,0,0,40,Non-US,<=50K
27,Private,276316,Bachelors,13,Never-married,Handlers-cleaners,White,Male,0,0,40,US,<=50K
56,Private,216822,<=12th,4,Married,Transport-moving,White,Male,3,1,50,US,<=50K
24,Private,175134,Masters,14,Never-married,Prof-specialty,Asian-Pac-Islander,Female,0,1,40,Non-US,<=50K
37,Private,446453,HS-grad,9,Married,Machine-op-inspct,White,Male,3317,1,51,US,<=50K
48,Government,299892,Some-college,10,Divorced,Machine-op-inspct,Amer-Indian-Eskimo,Female,9,2,45,US,<=50K
29,Self-emp-not-inc,228362,HS-grad,9,Never-married,Adm-clerical,White,Female,36,1,36,US,<=50K
22,Private,42238,HS-grad,4,Never-married,Sales,White,Male,43,1,22,US,<=50K
19,Private,465996,HS-grad,9,Never-married,Handlers-cleaners,White,Male,29,0,19,US,<=50K
41,Private,128430,HS-grad,9,Married,Handlers-cleaners,White,Male,12,0,37,US,<=50K
48,Private,198774,Prof-school,15,Married,Prof-specialty,White,Female,30,0,40,Non-US,>50K
32,Private,177421,Some-college,10,Never-married,Sales,White,Female,31,0,25,US,<=50K
43,Government,39009,Bachelors,13,Divorced,Prof-specialty,White,Female,0,1,40,US,<=50K
30,Private,385352,HS-grad,9,Divorced,Other-service,Black,Female,1,0,38,US,<=50K
35,Self-emp-inc,255514,HS-grad,9,Married,Exec-managerial,White,Male,36,1,50,US,>50K
41,Private,439249,<=12th,6,Never-married,Machine-op-inspct,White,Male,36,0,40,Non-US,<=50K
46,Private,315420,HS-grad,9,Divorced,Other-service,White,Female,0,0,11,US,<=50K
64,Private,154272,<=12th,2,Married,Machine-op-inspct,White,Male,7,0,42,US,<=50K
33,Private,157841,Bachelors,15,Never-married,Prof-specialty,Asian-Pac-Islander,Male,52,1,71,Non-US,>50K
73,Private,428176,<=12th,4,Married,Transport-moving,White,Male,0,0,13,US,<=50K
45,Private,411637,Assoc-voc,11,Married,Prof-specialty,White,Female,6,1,40,US,<=50K
52,Private,201632,<=12th,5,Married,Other-service,White,Female,2,1,40,US,<=50K
59,Self-emp-inc,138795,Some-college,10,Married,Exec-managerial,White,Female,0,0,40,US,>50K
65,Private,250266,<=12th,6,Married,Craft-repair,White,Male,36,1,40,Non-US,<=50K
29,Private,665679,Some-college,10,Married,Exec-managerial,White,Female,0,0,40,US,>50K
30,Private,255363,Some-college,10,Never-married,Handlers-cleaners,Asian-Pac-Islander,Female,33,1,40,US,>50K
47,Government,243202,Bachelors,13,Married,Prof-specialty,Asian-Pac-Islander,Male,4,0,35,Non-US,>50K
49,Private,381938,<=12th,6,Married,Handlers-cleaners,Black,Male,14,0,33,US,<=50K
48,Private,209369,HS-grad,9,Divorced,Exec-managerial,White,Female,0,0,49,US,<=50K
42,Private,230036,Some-college,13,Divorced,Exec-managerial,White,Male,44,0,50,US,>50K
39,Government,116894,Some-college,14,Married,Prof-specialty,Asian-Pac-Islander,Female,0,1,40,Non-US,>50K
58,Self-emp-inc,45227,Bachelors,13,Married,Sales,White,Male,54,1839,50,US,>50K
37,Government,156603,HS-grad,9,Divorced,Exec-managerial,White,Male,35,1,40,US,<=50K
42,Private,327973,HS-grad,9,Widowed,Other-service,White,Female,6,0,50,Non-US,<=50K
39,Private,259241,Bachelors,13,Married,Sales,White,Male,25,2106,50,US,<=50K
53,Private,187002,<=12th,7,Married,Sales,White,Female,21,1,58,US,>50K
43,Government,104586,Some-college,10,Married,Exec-managerial,White,Male,8,0,60,US,<=50K
41,Self-emp-not-inc,258498,HS-grad,9,Married,Sales,White,Male,31,0,13,Non-US,>50K
48,Private,188603,<=12th,4,Married,Machine-op-inspct,White,Male,16,0,40,US,<=50K
47,Private,353517,Some-college,10,Married,Craft-repair,White,Male,9,0,50,US,>50K
36,Self-emp-not-inc,325865,HS-grad,9,Married,Craft-repair,White,Male,0,1,60,US,<=50K
54,Private,364799,HS-grad,9,Separated,Machine-op-inspct,White,Female,18,0,40,US,<=50K
37,Self-emp-not-inc,211179,HS-grad,11,Married,Exec-managerial,White,Female,28,0,40,US,<=50K
51,Private,163960,Assoc-acdm,12,Married,Exec-managerial,White,Male,43,0,40,Non-US,>50K
61,Private,100337,Some-college,10,Divorced,Adm-clerical,White,Female,3,1,22,US,<=50K
43,Private,242487,Some-college,10,Never-married,Sales,White,Female,11,0,40,US,<=50K
54,Private,382206,HS-grad,9,Never-married,Sales,White,Female,4,0,40,US,<=50K
53,Private,27428,Bachelors,13,Married,Exec-managerial,White,Male,22,1,40,US,>50K
35,Private,372210,Bachelors,9,Married,Exec-managerial,Asian-Pac-Islander,Male,11,0,50,Non-US,>50K
33,Private,270790,Some-college,9,Never-married,Transport-moving,White,Male,17,0,40,US,<=50K
33,Private,170880,Bachelors,12,Married,Sales,White,Male,7381,1,49,US,>50K
40,Self-emp-not-inc,16818,HS-grad,9,Married,Farming-fishing,White,Male,0,0,50,Non-US,<=50K
36,Private,199821,Assoc-voc,11,Married,Adm-clerical,White,Male,23,0,70,US,>50K
59,Private,43586,HS-grad,9,Divorced,Exec-managerial,White,Female,8,0,20,US,<=50K
26,Private,288232,Bachelors,13,Never-married,Prof-specialty,White,Male,19,0,70,US,<=50K
71,Private,153243,Bachelors,13,Married,Adm-clerical,White,Female,41,1,21,US,<=50K
20,Private,520275,Some-college,10,Never-married,Prof-specialty,White,Female,24,0,21,US,<=50K
25,Private,217889,<=12th,6,Married,Sales,White,Male,44,0,13,US,<=50K
40,Private,50171,Bachelors,13,Divorced,Exec-managerial,White,Female,6,2292,45,US,<=50K
38,Government,50732,Assoc-voc,11,Divorced,Handlers-cleaners,White,Female,17,0,40,US,<=50K
20,Private,218610,Doctorate,10,Never-married,Exec-managerial,White,Male,18,1,40,US,<=50K
46,Government,36424,Some-college,10,Married,Exec-managerial,Asian-Pac-Islander,Female,0,1,40,US,<=50K
55,Government,159948,Doctorate,15,Married,Transport-moving,White,Male,50,0,40,US,>50K
48,Government,152776,Masters,14,Married,Exec-managerial,White,Male,70,0,40,US,>50K
48,Private,156877,Assoc-acdm,12,Divorced,Other-service,White,Female,33,1,40,US,<=50K
61,Private,279315,HS-grad,9,Married,Handlers-cleaners,White,Male,34,1,40,US,<=50K
26,Private,289204,Bachelors,12,Married,Craft-repair,Black,Male,4362,0,75,Non-US,>50K
25,Private,40856,HS-grad,9,Never-married,Exec-managerial,White,Male,0,0,58,US,<=50K
42,Private,160272,Some-college,10,Never-married,Machine-op-inspct,White,Female,10,0,40,US,<=50K
48,Private,198222,HS-grad,9,Married,Adm-clerical,White,Female,48,1,43,US,>50K
19,Government,192389,Some-college,7,Never-married,Prof-specialty,White,Female,20,0,24,US,<=50K
53,Private,281058,<=12th,4,Married,Priv-house-serv,White,Male,37,0,12,US,<=50K
56,Private,139918,Assoc-acdm,10,Married,Tech-support,White,Male,3,1,22,US,>50K
27,Private,204273,Some-college,10,Never-married,Adm-clerical,White,Female,12,0,61,US,>50K
17,Government,36406,Some-college,9,Never-married,Handlers-cleaners,White,Male,34,0,49,US,<=50K
74,Private,225561,<=12th,6,Married,Priv-house-serv,White,Male,65,0,40,US,<=50K
68,Private,277193,HS-grad,9,Divorced,Craft-repair,White,Female,3,0,35,US,>50K
44,Private,144860,HS-grad,9,Divorced,Other-service,White,Female,13,0,27,US,<=50K
66,Private,242792,Bachelors,13,Never-married,Exec-managerial,White,Male,13,1,59,US,<=50K
33,Self-emp-inc,158170,Masters,14,Married,Exec-managerial,White,Male,42,0,50,US,>50K
47,Self-emp-not-inc,16483,Some-college,10,Divorced,Adm-clerical,White,Female,0,0,22,US,<=50K
47,Self-emp-not-inc,33000,HS-grad,9,Married,Handlers-cleaners,White,Male,7,0,54,US,>50K
45,Government,244580,HS-grad,9,Divorced,Transport-moving,Asian-Pac-Islander,Female,14,0,40,US,<=50K
33,Private,105028,HS-grad,9,Married,Handlers-cleaners,White,Male,21,0,40,US,<=50K
64,Private,165768,<=12th,9,Divorced,Handlers-cleaners,White,Male,9,1,40,US,<=50K
42,Private,104441,Some-college,10,Never-married,Craft-repair,Black,Female,29,0,34,US,<=50K
43,Private,250106,HS-grad,9,Divorced,Craft-repair,White,Male,34,0,40,US,<=50K
58,Private,184569,<=12th,7,Married,Machine-op-inspct,White,Female,13,1,37,US,<=50K
40,Private,136383,<=12th,6,Married,Machine-op-inspct,White,Male,4851,0,40,US,<=50K
37,Private,157051,Assoc-acdm,13,Married,Tech-support,Asian-Pac-Islander,Male,6,0,37,Non-US,>50K
41,Private,198186,<=12th,7,Married,Handlers-cleaners,White,Male,43,2,41,US,<=50K
25,Private,131975,HS-grad,11,Never-married,Handlers-cleaners,White,Male,53,1,45,US,<=50K
36,Self-emp-not-inc,167979,Masters,14,Never-married,Prof-specialty,White,Male,40,0,40,US,<=50K
38,Private,84589,<=12th,6,Never-married,Sales,White,Female,27,2,40,US,<=50K
29,Private,313578,HS-grad,9,Married,Adm-clerical,White,Male,0,0,45,US,>50K
42,Private,128382,Bachelors,13,Divorced,Protective-serv,White,Female,0,0,40,US,<=50K
47,Government,176193,Prof-school,13,Divorced,Exec-managerial,White,Male,9,0,40,US,>50K
43,Private,161164,Some-college,10,Divorced,Adm-clerical,Asian-Pac-Islander,Female,4,1,40,US,<=50K
46,Government,181566,Bachelors,13,Married,Prof-specialty,Other,Male,20,0,40,US,>50K
21,Private,17535,HS-grad,9,Never-married,Other-service,White,Female,0,0,13,US,<=50K
40,Private,178522,Bachelors,13,Never-married,Sales,White,Male,26,2,35,US,<=50K
47,Self-emp-not-inc,180546,HS-grad,9,Married,Craft-repair,White,Male,0,0,40,US,>50K
60,Private,273593,<=12th,6,Divorced,Priv-house-serv,White,Male,38,1,17,US,<=50K
24,Private,351191,HS-grad,12,Never-married,Farming-fishing,White,Female,0,0,50,US,<=50K
23,Self-emp-inc,538525,Bachelors,13,Never-married,Prof-specialty,White,Female,20,0,40,US,>50K
18,Private,248598,HS-grad,7,Never-married,Farming-fishing,White,Female,31,1,22,US,<=50K
49,Private,53693,Some-college,10,Married,Prof-specialty,White,Male,11,0,45,US,<=50K
65,Self-emp-not-inc,229466,Some-college,10,Never-married,Sales,White,Male,12,1,51,US,<=50K
48,Government,199873,Prof-school,15,Married,Prof-specialty,White,Female,38,0,40,US,>50K
40,Self-emp-not-inc,161408,Some-college,10,Married,Farming-fishing,White,Male,25,1,40,US,>50K
35,Private,184988,Some-college,10,Never-married,Adm-clerical,Asian-Pac-Islander,Female,3,0,40,US,<=50K
33,Private,383564,<=12th,16,Married,Transport-moving,White,Male,23,0,40,US,>50K
52,Private,248797,Masters,16,Married,Prof-specialty,Black,Male,11,1,51,US,>50K
40,Private,33458,Some-college,10,Never-married,Adm-clerical,White,Female,13,0,60,US,<=50K
41,Self-emp-inc,190084,Assoc-voc,10,Married,Sales,White,Male,15417,1,51,Non-US,<=50K
37,Government,199318,Assoc-voc,11,Married,Exec-managerial,White,Male,0,0,40,US,>50K
36,Private,98661,Some-college,10,Never-married,Exec-managerial,Other,Female,23,0,45,US,<=50K
25,Private,350139,Bachelors,7,Never-married,Handlers-cleaners,White,Male,27,0,40,US,<=50K
25,Government,135940,Some-college,10,Never-married,Handlers-cleaners,White,Male,59,0,40,US,<=50K
48,Government,19577,Assoc-voc,11,Divorced,Prof-specialty,White,Female,0,1,40,US,<=50K
32,Private,153260,<=12th,8,Never-married,Other-service,White,Female,2,0,34,US,<=50K
47,Private,106579,Bachelors,13,Never-married,Sales,White,Male,14,0,50,US,<=50K
59,Private,326562,<=12th,13,Separated,Machine-op-inspct,Black,Female,21,0,40,US,<=50K
18,Self-emp-not-inc,272649,Some-college,10,Never-married,Sales,White,Male,5,0,21,US,<=50K
62,Private,56614,HS-grad,9,Married,Exec-managerial,White,Male,4777,0,37,US,<=50K
52,Private,89768,Some-college,10,Never-married,Adm-clerical,Black,Female,22,1,40,Non-US,<=50K
44,Private,18474,<=12th,4,Married,Craft-repair,White,Male,81,0,87,US,<=50K
39,Private,78815,HS-grad,9,Divorced,Other-service,White,Female,9,0,40,US,<=50K
26,Private,166800,HS-grad,9,Never-married,Sales,White,Male,0,0,40,US,<=50K
55,Private,155720,HS-grad,9,Married,Transport-moving,White,Male,0,0,45,US,<=50K
35,Government,126828,HS-grad,9,Married,Handlers-cleaners,White,Female,35,1,40,US,<=50K
44,Private,60273,HS-grad,9,Married,Adm-clerical,Amer-Indian-Eskimo,Male,0,1,40,Non-US,<=50K
51,Government,311477,HS-grad,9,Divorced,Craft-repair,White,Female,6,0,40,US,<=50K
